,t,ts
0,1806-01-31,-3.0459595
1,1806-02-28,-3.5569153
2,1806-03-31,-5.9389343
3,1806-04-30,-4.6510315
4,1806-05-31,-2.5119324
5,1806-06-30,-2.5889587
6,1806-07-31,-1.2895203
7,1806-08-31,-1.5534058
8,1806-09-30,-1.0249939
9,1806-10-31,-2.5773926
10,1806-11-30,-2.5554504
11,1806-12-31,-2.6749268
12,1807-01-31,-2.8439636
13,1807-02-28,-4.7779236
14,1807-03-31,-5.6345215
15,1807-04-30,-4.73938
16,1807-05-31,-2.432495
17,1807-06-30,-1.8910522
18,1807-07-31,-0.35360718
19,1807-08-31,0.35302734
20,1807-09-30,-2.1791382
21,1807-10-31,-3.3382874
22,1807-11-30,-3.5954285
23,1807-12-31,-3.2459106
24,1808-01-31,-3.1056519
25,1808-02-29,-9.19043
26,1808-03-31,-8.930878
27,1808-04-30,-5.417694
28,1808-05-31,-3.387329
29,1808-06-30,-1.2289734
30,1808-07-31,-0.5891113
31,1808-08-31,-1.1868896
32,1808-09-30,-2.0404053
33,1808-10-31,-3.4797974
34,1808-11-30,-3.080841
35,1808-12-31,-4.8055725
36,1809-01-31,-3.227417
37,1809-02-28,-2.2810364
38,1809-03-31,-3.8538818
39,1809-04-30,-3.92688
40,1809-05-31,-2.2211914
41,1809-06-30,-2.1235352
42,1809-07-31,-1.2141113
43,1809-08-31,-0.53848267
44,1809-09-30,-1.9616394
45,1809-10-31,-2.9330444
46,1809-11-30,-3.7858582
47,1809-12-31,-2.0305786
48,1810-01-31,-2.889923
49,1810-02-28,-3.5176392
50,1810-03-31,-5.06073
51,1810-04-30,-4.9947815
52,1810-05-31,-3.4740295
53,1810-06-30,-2.3881226
54,1810-07-31,-0.6903076
55,1810-08-31,-0.99575806
56,1810-09-30,-1.7778931
57,1810-10-31,-2.8475342
58,1810-11-30,-4.2008667
59,1810-12-31,-3.10318
60,1811-01-31,-2.8161316
61,1811-02-28,-4.721222
62,1811-03-31,-3.9038696
63,1811-04-30,-5.4022827
64,1811-05-31,-4.3308716
65,1811-06-30,-1.9856262
66,1811-07-31,-1.6757812
67,1811-08-31,-2.1429138
68,1811-09-30,-3.0229187
69,1811-10-31,-3.1701355
70,1811-11-30,-3.472107
71,1811-12-31,-3.1338196
72,1812-01-31,-2.550415
73,1812-02-29,-2.5326843
74,1812-03-31,-6.3857117
75,1812-04-30,-5.57312
76,1812-05-31,-1.9945679
77,1812-06-30,-1.327301
78,1812-07-31,-1.3911133
79,1812-08-31,-1.2727661
80,1812-09-30,-2.3770752
81,1812-10-31,-3.2632751
82,1812-11-30,-3.9308472
83,1812-12-31,-3.280182
84,1813-01-31,-3.2415466
85,1813-02-28,-3.783722
86,1813-03-31,-5.407898
87,1813-04-30,-4.5577087
88,1813-05-31,-4.1183777
89,1813-06-30,-1.9406433
90,1813-07-31,-0.06491089
91,1813-08-31,-1.2897034
92,1813-09-30,-1.831665
93,1813-10-31,-4.593506
94,1813-11-30,-2.903778
95,1813-12-31,-3.7337952
96,1814-01-31,-4.85849
97,1814-02-28,-4.4609375
98,1814-03-31,-6.2619324
99,1814-04-30,-2.0602112
100,1814-05-31,-2.4115295
101,1814-06-30,-1.860199
102,1814-07-31,-0.52459717
103,1814-08-31,-0.86468506
104,1814-09-30,-1.4179077
105,1814-10-31,-3.3003845
106,1814-11-30,-3.441681
107,1814-12-31,-2.6838074
108,1815-01-31,-2.9302368
109,1815-02-28,-1.8430786
110,1815-03-31,-2.9889526
111,1815-04-30,-3.2443542
112,1815-05-31,-3.1611023
113,1815-06-30,-1.6902161
114,1815-07-31,-1.4717712
115,1815-08-31,-1.1893005
116,1815-09-30,-1.9579163
117,1815-10-31,-1.5455322
118,1815-11-30,-3.0795898
119,1815-12-31,-2.426941
120,1816-01-31,-3.0185547
121,1816-02-29,-7.117157
122,1816-03-31,-6.880493
123,1816-04-30,-5.948944
124,1816-05-31,-4.1010437
125,1816-06-30,-2.3985596
126,1816-07-31,-0.5028076
127,1816-08-31,-2.4985657
128,1816-09-30,-2.3345642
129,1816-10-31,-3.4568176
130,1816-11-30,-3.411255
131,1816-12-31,-1.8729248
132,1817-01-31,0.2939453
133,1817-02-28,-1.7319336
134,1817-03-31,-5.8522644
135,1817-04-30,-5.528534
136,1817-05-31,-3.374817
137,1817-06-30,-0.99520874
138,1817-07-31,-0.6326599
139,1817-08-31,-1.2284241
140,1817-09-30,-0.3678894
141,1817-10-31,-2.4677124
142,1817-11-30,-1.7325134
143,1817-12-31,-3.7112427
144,1818-01-31,-1.5778198
145,1818-02-28,-4.520752
146,1818-03-31,-7.3006287
147,1818-04-30,-6.6631165
148,1818-05-31,-3.2381287
149,1818-06-30,-2.1110535
150,1818-07-31,-0.12661743
151,1818-08-31,-0.9901123
152,1818-09-30,-1.0774841
153,1818-10-31,-0.68826294
154,1818-11-30,-2.5396118
155,1818-12-31,-2.655182
156,1819-01-31,-2.4443665
157,1819-02-28,-6.7578125
158,1819-03-31,-7.7986145
159,1819-04-30,-5.941437
160,1819-05-31,-3.3913574
161,1819-06-30,-1.4831238
162,1819-07-31,-1.0491943
163,1819-08-31,-0.9336548
164,1819-09-30,-1.8108215
165,1819-10-31,-3.096344
166,1819-11-30,-4.8633423
167,1819-12-31,-3.1922913
168,1820-01-31,-3.3556519
169,1820-02-29,-3.7059631
170,1820-03-31,-5.9518433
171,1820-04-30,-3.7377014
172,1820-05-31,-2.6034546
173,1820-06-30,-1.8881226
174,1820-07-31,-1.3366699
175,1820-08-31,-1.2384949
176,1820-09-30,-2.4216614
177,1820-10-31,-2.8249817
178,1820-11-30,-3.9937744
179,1820-12-31,-3.3015442
180,1821-01-31,-2.73349
181,1821-02-28,-4.1957703
