,t,ts
0,1806-01-31,-267.74985
1,1806-02-28,-267.4347
2,1806-03-31,-269.9659
3,1806-04-30,-275.6466
4,1806-05-31,-281.22797
5,1806-06-30,-286.4411
6,1806-07-31,-288.56735
7,1806-08-31,-287.78522
8,1806-09-30,-283.76953
9,1806-10-31,-279.3002
10,1806-11-30,-273.8273
11,1806-12-31,-269.6785
12,1807-01-31,-268.2288
13,1807-02-28,-267.0001
14,1807-03-31,-270.17877
15,1807-04-30,-275.24692
16,1807-05-31,-281.1567
17,1807-06-30,-286.31995
18,1807-07-31,-288.40674
19,1807-08-31,-287.71533
20,1807-09-30,-283.6591
21,1807-10-31,-279.18756
22,1807-11-30,-273.5846
23,1807-12-31,-270.2658
24,1808-01-31,-268.15866
25,1808-02-29,-266.5148
26,1808-03-31,-270.37823
27,1808-04-30,-275.4315
28,1808-05-31,-281.17453
29,1808-06-30,-286.26062
30,1808-07-31,-288.19843
31,1808-08-31,-287.89798
32,1808-09-30,-283.7249
33,1808-10-31,-279.16226
34,1808-11-30,-274.02765
35,1808-12-31,-270.25543
36,1809-01-31,-268.07587
37,1809-02-28,-267.0158
38,1809-03-31,-270.3787
39,1809-04-30,-275.6675
40,1809-05-31,-281.3579
41,1809-06-30,-286.44543
42,1809-07-31,-288.49866
43,1809-08-31,-287.97284
44,1809-09-30,-283.43494
45,1809-10-31,-279.36014
46,1809-11-30,-274.05835
47,1809-12-31,-270.01556
48,1810-01-31,-268.06195
49,1810-02-28,-267.02704
50,1810-03-31,-269.82867
51,1810-04-30,-275.49445
52,1810-05-31,-281.2882
53,1810-06-30,-286.41083
54,1810-07-31,-288.60648
55,1810-08-31,-287.946
56,1810-09-30,-283.67297
57,1810-10-31,-279.22717
58,1810-11-30,-273.6145
59,1810-12-31,-269.95825
60,1811-01-31,-268.11584
61,1811-02-28,-266.3917
62,1811-03-31,-270.0855
63,1811-04-30,-275.77203
64,1811-05-31,-280.90424
65,1811-06-30,-286.29633
66,1811-07-31,-288.25757
67,1811-08-31,-287.719
68,1811-09-30,-283.75015
69,1811-10-31,-279.11255
70,1811-11-30,-273.99875
71,1811-12-31,-269.95346
72,1812-01-31,-268.32898
73,1812-02-29,-267.181
74,1812-03-31,-270.2078
75,1812-04-30,-275.18057
76,1812-05-31,-281.32147
77,1812-06-30,-286.35782
78,1812-07-31,-288.64368
79,1812-08-31,-287.8633
80,1812-09-30,-283.8459
81,1812-10-31,-278.59406
82,1812-11-30,-273.96042
83,1812-12-31,-270.23984
84,1813-01-31,-268.04398
85,1813-02-28,-266.41388
86,1813-03-31,-270.16617
87,1813-04-30,-275.28848
88,1813-05-31,-281.1132
89,1813-06-30,-286.0389
