,t,ts
0,1806-01-31,-3.76828
1,1806-02-28,-4.9048157
2,1806-03-31,-7.283478
3,1806-04-30,-6.3077087
4,1806-05-31,-3.6271057
5,1806-06-30,-3.8468933
6,1806-07-31,-2.303772
7,1806-08-31,-2.4825134
8,1806-09-30,-1.3913269
9,1806-10-31,-3.3962097
10,1806-11-30,-3.1632385
11,1806-12-31,-3.523529
12,1807-01-31,-3.090454
13,1807-02-28,-5.819092
14,1807-03-31,-6.750824
15,1807-04-30,-6.3589783
16,1807-05-31,-3.4795227
17,1807-06-30,-2.7506409
18,1807-07-31,-0.825531
19,1807-08-31,0.3678894
20,1807-09-30,-2.878418
21,1807-10-31,-4.3091125
22,1807-11-30,-4.938629
23,1807-12-31,-3.7444763
24,1808-01-31,-3.4335938
25,1808-02-29,-11.0399475
26,1808-03-31,-11.40567
27,1808-04-30,-7.4418945
28,1808-05-31,-4.627899
29,1808-06-30,-1.7848206
30,1808-07-31,-1.1251221
31,1808-08-31,-1.8373413
32,1808-09-30,-2.5871582
33,1808-10-31,-4.5119324
34,1808-11-30,-4.0803223
35,1808-12-31,-6.005371
36,1809-01-31,-4.3658447
37,1809-02-28,-3.231598
38,1809-03-31,-4.1649475
39,1809-04-30,-5.1756287
40,1809-05-31,-2.8638
41,1809-06-30,-3.0806274
42,1809-07-31,-1.8642273
43,1809-08-31,-1.0780945
44,1809-09-30,-2.703003
45,1809-10-31,-3.688568
46,1809-11-30,-4.7894897
47,1809-12-31,-3.130371
48,1810-01-31,-2.853363
49,1810-02-28,-3.8338318
50,1810-03-31,-6.4367065
51,1810-04-30,-6.8927307
52,1810-05-31,-4.952484
53,1810-06-30,-3.3960571
54,1810-07-31,-1.1775513
55,1810-08-31,-1.5038757
56,1810-09-30,-2.112976
57,1810-10-31,-3.6970215
58,1810-11-30,-5.3003235
59,1810-12-31,-3.8590088
60,1811-01-31,-3.40094
61,1811-02-28,-6.387848
62,1811-03-31,-4.508484
63,1811-04-30,-6.6098022
64,1811-05-31,-6.4315186
65,1811-06-30,-2.7864685
66,1811-07-31,-2.767456
67,1811-08-31,-2.915985
68,1811-09-30,-3.8442383
69,1811-10-31,-4.0744324
70,1811-11-30,-4.872406
71,1811-12-31,-4.4372253
72,1812-01-31,-2.748108
73,1812-02-29,-3.3839111
74,1812-03-31,-8.485901
75,1812-04-30,-7.3814697
76,1812-05-31,-2.5787048
77,1812-06-30,-1.7998047
78,1812-07-31,-2.433197
79,1812-08-31,-2.0494385
80,1812-09-30,-2.9554749
81,1812-10-31,-4.5139465
82,1812-11-30,-4.672821
83,1812-12-31,-4.072296
84,1813-01-31,-3.4348145
85,1813-02-28,-4.9829407
86,1813-03-31,-6.4601135
87,1813-04-30,-5.9035645
88,1813-05-31,-5.769043
89,1813-06-30,-2.8756409
90,1813-07-31,-0.40899658
91,1813-08-31,-1.9555054
92,1813-09-30,-2.5150757
93,1813-10-31,-6.1244507
94,1813-11-30,-3.8478088
95,1813-12-31,-4.7678833
96,1814-01-31,-5.641266
97,1814-02-28,-5.412842
98,1814-03-31,-8.086304
99,1814-04-30,-2.3864746
100,1814-05-31,-3.5549011
101,1814-06-30,-2.7610474
102,1814-07-31,-1.0896606
103,1814-08-31,-1.3236389
104,1814-09-30,-1.7567444
105,1814-10-31,-4.55307
106,1814-11-30,-4.301544
107,1814-12-31,-3.741272
108,1815-01-31,-3.378357
109,1815-02-28,-1.9472046
110,1815-03-31,-3.5302734
111,1815-04-30,-4.38855
112,1815-05-31,-4.8291016
113,1815-06-30,-2.6072998
114,1815-07-31,-2.5110168
115,1815-08-31,-1.9442139
116,1815-09-30,-2.6396484
117,1815-10-31,-1.9760437
118,1815-11-30,-4.5249023
119,1815-12-31,-2.9541626
120,1816-01-31,-3.390442
121,1816-02-29,-8.598572
122,1816-03-31,-8.857269
123,1816-04-30,-8.573547
124,1816-05-31,-6.4823303
125,1816-06-30,-3.6743774
126,1816-07-31,-1.0783691
127,1816-08-31,-3.5651855
128,1816-09-30,-3.2971497
129,1816-10-31,-4.3244324
130,1816-11-30,-4.4969788
131,1816-12-31,-2.3497314
132,1817-01-31,0.804718
133,1817-02-28,-1.9668579
134,1817-03-31,-7.4617004
135,1817-04-30,-7.5577087
136,1817-05-31,-4.678711
137,1817-06-30,-1.546051
138,1817-07-31,-1.4392395
139,1817-08-31,-2.136139
140,1817-09-30,-0.60964966
141,1817-10-31,-3.183319
142,1817-11-30,-2.106964
143,1817-12-31,-4.90094
144,1818-01-31,-2.0791626
145,1818-02-28,-5.66687
146,1818-03-31,-10.213318
147,1818-04-30,-9.174805
148,1818-05-31,-4.930725
149,1818-06-30,-3.0485535
150,1818-07-31,-0.45336914
151,1818-08-31,-1.5184021
152,1818-09-30,-1.4029846
153,1818-10-31,-0.93170166
154,1818-11-30,-3.4536438
155,1818-12-31,-3.2767334
156,1819-01-31,-2.8170776
157,1819-02-28,-8.382477
158,1819-03-31,-9.592346
159,1819-04-30,-8.486877
160,1819-05-31,-5.37146
161,1819-06-30,-2.1906433
162,1819-07-31,-1.6811829
163,1819-08-31,-1.3954163
164,1819-09-30,-2.2313232
165,1819-10-31,-4.1849365
166,1819-11-30,-6.3511353
167,1819-12-31,-4.4110107
168,1820-01-31,-3.5275574
169,1820-02-29,-4.0257263
170,1820-03-31,-7.2322693
171,1820-04-30,-5.302307
172,1820-05-31,-4.0415955
173,1820-06-30,-2.9568787
174,1820-07-31,-2.1420593
175,1820-08-31,-1.9135742
176,1820-09-30,-3.3304749
177,1820-10-31,-3.7240295
178,1820-11-30,-4.879486
179,1820-12-31,-3.9570007
180,1821-01-31,-2.7771606
181,1821-02-28,-4.6079407
182,1821-03-31,-7.971405
183,1821-04-30,-7.756897
184,1821-05-31,-4.433136
185,1821-06-30,-3.852295
186,1821-07-31,-2.857788
187,1821-08-31,-2.5873413
188,1821-09-30,-3.0829773
189,1821-10-31,-3.5030823
190,1821-11-30,-3.8582153
191,1821-12-31,-4.2698975
192,1822-01-31,-4.3444824
193,1822-02-28,-1.5119629
194,1822-03-31,-4.0778503
195,1822-04-30,-5.2852173
196,1822-05-31,-3.4468384
197,1822-06-30,-3.9794006
198,1822-07-31,-1.8424683
199,1822-08-31,-1.726471
200,1822-09-30,-3.499237
201,1822-10-31,-4.887329
202,1822-11-30,-4.04657
203,1822-12-31,-2.5509338
204,1823-01-31,-4.0348206
205,1823-02-28,-7.7963257
206,1823-03-31,-7.891144
207,1823-04-30,-7.1310425
208,1823-05-31,-4.1488647
209,1823-06-30,-2.5372925
210,1823-07-31,-1.494873
211,1823-08-31,-1.6792908
212,1823-09-30,-2.4667358
213,1823-10-31,-3.3716125
214,1823-11-30,-4.031128
215,1823-12-31,-4.2799683
216,1824-01-31,-5.14328
217,1824-02-29,-9.577454
218,1824-03-31,-9.800842
219,1824-04-30,-7.5343933
220,1824-05-31,-4.0976562
221,1824-06-30,-2.1289673
222,1824-07-31,-1.65094
223,1824-08-31,-1.7962341
224,1824-09-30,-1.5584106
225,1824-10-31,-5.781708
226,1824-11-30,-4.356964
227,1824-12-31,-2.7775574
228,1825-01-31,-2.7602234
229,1825-02-28,-2.878479
230,1825-03-31,-6.0238037
231,1825-04-30,-5.4064636
232,1825-05-31,-4.534363
233,1825-06-30,-3.475647
234,1825-07-31,-2.0396423
235,1825-08-31,-2.1397705
236,1825-09-30,-3.7075806
237,1825-10-31,-2.8796692
238,1825-11-30,-4.049469
239,1825-12-31,-4.6791687
240,1826-01-31,-4.7138367
241,1826-02-28,-2.6637268
242,1826-03-31,-6.0851135
243,1826-04-30,-6.9685364
244,1826-05-31,-4.8750916
245,1826-06-30,-1.5973206
246,1826-07-31,-0.3840027
247,1826-08-31,-1.565979
248,1826-09-30,-2.3525696
249,1826-10-31,-3.1252441
250,1826-11-30,-5.274048
251,1826-12-31,-4.4674683
252,1827-01-31,-4.693268
253,1827-02-28,-8.650787
254,1827-03-31,-6.5669556
255,1827-04-30,-7.1977234
256,1827-05-31,-3.147644
257,1827-06-30,-1.6439819
258,1827-07-31,-1.4618225
259,1827-08-31,-1.9438171
260,1827-09-30,-1.6388245
261,1827-10-31,-3.3692017
262,1827-11-30,-5.167389
263,1827-12-31,-3.335205
264,1828-01-31,-3.9735107
265,1828-02-29,-8.484772
266,1828-03-31,-7.698822
267,1828-04-30,-6.7247925
268,1828-05-31,-4.053314
269,1828-06-30,-1.6273193
270,1828-07-31,-0.77511597
271,1828-08-31,-1.6559143
272,1828-09-30,-1.7434082
273,1828-10-31,-3.6792908
274,1828-11-30,-4.322815
275,1828-12-31,-3.4194946
276,1829-01-31,-6.742462
277,1829-02-28,-8.689636
278,1829-03-31,-8.762512
279,1829-04-30,-6.79187
280,1829-05-31,-4.2198486
281,1829-06-30,-2.1089783
282,1829-07-31,-1.7033691
283,1829-08-31,-2.4877625
284,1829-09-30,-2.217987
285,1829-10-31,-4.139374
286,1829-11-30,-5.903656
287,1829-12-31,-5.8267517
288,1830-01-31,-6.056183
289,1830-02-28,-6.583832
290,1830-03-31,-6.051239
291,1830-04-30,-6.500641
292,1830-05-31,-4.933136
293,1830-06-30,-2.5985718
294,1830-07-31,-1.2477112
295,1830-08-31,-1.8954163
296,1830-09-30,-3.035492
297,1830-10-31,-3.5744324
298,1830-11-30,-3.3728027
299,1830-12-31,-6.5134277
300,1831-01-31,-5.2376404
301,1831-02-28,-5.8467712
302,1831-03-31,-10.353241
303,1831-04-30,-7.7943726
304,1831-05-31,-5.2964478
305,1831-06-30,-1.8510437
306,1831-07-31,-0.5795593
307,1831-08-31,-1.5555115
308,1831-09-30,-2.5763245
309,1831-10-31,-2.363556
310,1831-11-30,-4.492401
311,1831-12-31,-4.7771606
312,1832-01-31,-4.7710876
313,1832-02-29,-8.215363
314,1832-03-31,-7.981476
315,1832-04-30,-7.38562
316,1832-05-31,-6.340393
317,1832-06-30,-1.6256409
318,1832-07-31,-2.83078
319,1832-08-31,-1.7667847
320,1832-09-30,-3.0367432
321,1832-10-31,-4.170807
322,1832-11-30,-6.8494873
323,1832-12-31,-6.364258
324,1833-01-31,-1.2662659
325,1833-02-28,-11.820892
326,1833-03-31,-12.38269
327,1833-04-30,-8.372284
328,1833-05-31,-4.2770996
329,1833-06-30,-2.712738
330,1833-07-31,-1.9315796
331,1833-08-31,-4.2873535
332,1833-09-30,-2.1767273
333,1833-10-31,-2.620819
334,1833-11-30,-1.8819885
335,1833-12-31,-3.8646545
336,1834-01-31,-5.95578
337,1834-02-28,-10.220001
338,1834-03-31,-7.760498
339,1834-04-30,-5.80896
340,1834-05-31,-3.6500854
341,1834-06-30,-2.4481506
342,1834-07-31,0.3696289
343,1834-08-31,-0.72927856
344,1834-09-30,-1.0884094
345,1834-10-31,-2.633728
346,1834-11-30,-3.2094727
347,1834-12-31,-1.7247314
348,1835-01-31,1.1107483
349,1835-02-28,-5.0891724
350,1835-03-31,-10.168152
351,1835-04-30,-7.9548035
352,1835-05-31,-4.49646
353,1835-06-30,-1.5352173
354,1835-07-31,-0.34851074
355,1835-08-31,-3.548645
356,1835-09-30,-2.6834106
357,1835-10-31,-3.3292847
358,1835-11-30,-5.172394
359,1835-12-31,-4.6791687
360,1836-01-31,-2.7311707
361,1836-02-29,-6.742096
362,1836-03-31,-5.7177734
363,1836-04-30,-5.84021
364,1836-05-31,-5.98999
365,1836-06-30,-3.2935486
366,1836-07-31,-3.0622253
367,1836-08-31,-3.6252441
368,1836-09-30,-3.053833
369,1836-10-31,-2.8595276
370,1836-11-30,-5.2140503
371,1836-12-31,-4.5210876
372,1837-01-31,-5.390045
373,1837-02-28,-5.397217
374,1837-03-31,-10.860107
375,1837-04-30,-10.049805
376,1837-05-31,-7.1815186
377,1837-06-30,-3.3389587
378,1837-07-31,-2.1372375
379,1837-08-31,-1.213562
380,1837-09-30,-2.0025635
381,1837-10-31,-1.6813049
382,1837-11-30,-1.7778015
383,1837-12-31,-4.0525513
