,t,ts
0,1806-01-31,-6.5625
1,1806-02-28,-8.261597
2,1806-03-31,-7.3132935
3,1806-04-30,-0.62750244
4,1806-05-31,7.078644
5,1806-06-30,11.065002
6,1806-07-31,14.585083
7,1806-08-31,14.049591
8,1806-09-30,11.006256
9,1806-10-31,4.9959717
10,1806-11-30,1.3579102
11,1806-12-31,-3.4028015
12,1807-01-31,-5.6128845
13,1807-02-28,-7.7388306
14,1807-03-31,-6.560089
15,1807-04-30,-0.50790405
16,1807-05-31,6.7016296
17,1807-06-30,11.918762
18,1807-07-31,16.284271
19,1807-08-31,16.86493
20,1807-09-30,9.519592
21,1807-10-31,4.4487915
22,1807-11-30,-1.1524963
23,1807-12-31,-4.1181335
24,1808-01-31,-5.701599
25,1808-02-29,-12.548279
26,1808-03-31,-10.6753845
27,1808-04-30,-2.3337402
28,1808-05-31,6.704834
29,1808-06-30,13.062927
30,1808-07-31,15.737518
31,1808-08-31,14.439514
32,1808-09-30,9.94751
33,1808-10-31,3.8935547
34,1808-11-30,-0.28125
35,1808-12-31,-6.0157166
36,1809-01-31,-6.600403
37,1809-02-28,-4.313843
38,1809-03-31,-2.8125
39,1809-04-30,0.5479126
40,1809-05-31,7.862091
41,1809-06-30,11.662079
42,1809-07-31,14.935089
43,1809-08-31,15.172577
44,1809-09-30,10.220001
45,1809-10-31,4.7867126
46,1809-11-30,-1.237915
47,1809-12-31,-2.3052368
48,1810-01-31,-4.8979797
49,1810-02-28,-6.113373
50,1810-03-31,-6.366516
51,1810-04-30,-1.3254089
52,1810-05-31,5.831848
53,1810-06-30,11.351257
54,1810-07-31,15.527832
55,1810-08-31,14.726624
56,1810-09-30,10.61084
57,1810-10-31,4.975403
58,1810-11-30,-1.6558228
59,1810-12-31,-4.374176
60,1811-01-31,-5.199585
61,1811-02-28,-6.836151
62,1811-03-31,-3.4189453
63,1811-04-30,-1.7124939
64,1811-05-31,5.167755
65,1811-06-30,11.705414
66,1811-07-31,14.273804
67,1811-08-31,13.452423
68,1811-09-30,8.734161
69,1811-10-31,4.6439514
70,1811-11-30,-1.520813
71,1811-12-31,-3.7104797
72,1812-01-31,-5.39032
73,1812-02-29,-6.2297363
74,1812-03-31,-7.7882996
75,1812-04-30,-1.9229126
76,1812-05-31,7.8000183
77,1812-06-30,12.830414
78,1812-07-31,14.313721
79,1812-08-31,14.423798
80,1812-09-30,9.237915
81,1812-10-31,4.1834717
82,1812-11-30,-1.6278992
83,1812-12-31,-4.229431
84,1813-01-31,-5.864105
85,1813-02-28,-7.165161
86,1813-03-31,-6.576996
87,1813-04-30,-0.045837402
88,1813-05-31,5.270172
89,1813-06-30,12.361267
90,1813-07-31,16.838318
91,1813-08-31,14.233887
92,1813-09-30,10.18042
93,1813-10-31,3.2782288
94,1813-11-30,-0.030426025
95,1813-12-31,-4.1871033
96,1814-01-31,-8.264923
97,1814-02-28,-8.028564
98,1814-03-31,-7.3459473
99,1814-04-30,2.7045898
100,1814-05-31,6.88266
101,1814-06-30,12.334595
102,1814-07-31,15.758881
103,1814-08-31,14.789124
104,1814-09-30,10.901672
105,1814-10-31,4.371765
106,1814-11-30,-0.39916992
107,1814-12-31,-4.237091
108,1815-01-31,-6.06369
109,1815-02-28,-4.8169556
110,1815-03-31,-2.3399048
111,1815-04-30,1.0404358
112,1815-05-31,5.537903
113,1815-06-30,12.304993
114,1815-07-31,14.353241
115,1815-08-31,14.579041
116,1815-09-30,9.839172
117,1815-10-31,5.907257
118,1815-11-30,-1.1141663
119,1815-12-31,-3.725006
120,1816-01-31,-5.5810547
121,1816-02-29,-11.3461
122,1816-03-31,-8.519745
123,1816-04-30,-3.2158203
124,1816-05-31,4.707672
125,1816-06-30,11.141663
126,1816-07-31,15.76413
127,1816-08-31,12.587921
128,1816-09-30,9.292938
129,1816-10-31,4.325012
130,1816-11-30,-1.2162476
131,1816-12-31,-2.3854675
132,1817-01-31,-1.6261902
133,1817-02-28,-4.624542
134,1817-03-31,-7.3778076
135,1817-04-30,-2.220398
136,1817-05-31,5.8516235
137,1817-06-30,13.320831
138,1817-07-31,15.290741
139,1817-08-31,14.055237
140,1817-09-30,11.562927
141,1817-10-31,4.7915344
142,1817-11-30,0.9550171
143,1817-12-31,-5.382263
144,1818-01-31,-4.718933
145,1818-02-28,-7.890167
146,1818-03-31,-9.1137085
147,1818-04-30,-3.0470886
148,1818-05-31,5.8560486
149,1818-06-30,11.727081
150,1818-07-31,16.487091
151,1818-08-31,14.507263
152,1818-09-30,10.674164
153,1818-10-31,6.92984
154,1818-11-30,0.031677246
155,1818-12-31,-2.75
156,1819-01-31,-4.7612915
157,1819-02-28,-11.241058
158,1819-03-31,-9.316925
159,1819-04-30,-3.5883179
160,1819-05-31,5.389923
161,1819-06-30,12.703766
162,1819-07-31,15.1996155
163,1819-08-31,14.76413
164,1819-09-30,10.1779175
165,1819-10-31,4.0983887
166,1819-11-30,-2.6070862
167,1819-12-31,-4.762909
168,1820-01-31,-6.1116943
169,1820-02-29,-5.867676
170,1820-03-31,-7.25119
171,1820-04-30,0.18041992
172,1820-05-31,7.127411
173,1820-06-30,11.795013
174,1820-07-31,14.624603
175,1820-08-31,14.235901
176,1820-09-30,9.307495
177,1820-10-31,4.618561
178,1820-11-30,-1.5229187
179,1820-12-31,-4.255249
180,1821-01-31,-5.3685303
181,1821-02-28,-6.8955383
182,1821-03-31,-8.167725
183,1821-04-30,-1.293335
184,1821-05-31,5.985901
185,1821-06-30,10.7595825
186,1821-07-31,13.889526
187,1821-08-31,13.728638
188,1821-09-30,9.702515
189,1821-10-31,4.9117126
190,1821-11-30,-0.75250244
191,1821-12-31,-3.9576416
192,1822-01-31,-6.8685303
193,1822-02-28,-4.285248
194,1822-03-31,-3.6354675
195,1822-04-30,0.55041504
196,1822-05-31,6.7016296
197,1822-06-30,11.095856
198,1822-07-31,15.152832
199,1822-08-31,14.57782
200,1822-09-30,9.226685
201,1822-10-31,3.6262207
202,1822-11-30,-0.0054016113
203,1822-12-31,-2.722992
204,1823-01-31,-6.4862976
205,1823-02-28,-9.460693
206,1823-03-31,-7.4084473
207,1823-04-30,-1.5879211
208,1823-05-31,6.2193604
209,1823-06-30,12.307495
210,1823-07-31,15.254456
211,1823-08-31,14.8637085
212,1823-09-30,9.910828
213,1823-10-31,5.602417
214,1823-11-30,-0.63916016
215,1823-12-31,-4.0681458
216,1824-01-31,-7.1237793
217,1824-02-29,-11.161194
218,1824-03-31,-8.927399
219,1824-04-30,-2.6620789
220,1824-05-31,6.4915466
221,1824-06-30,12.662506
222,1824-07-31,15.109283
223,1824-08-31,14.393555
224,1824-09-30,10.640411
225,1824-10-31,3.0338745
226,1824-11-30,-0.68081665
227,1824-12-31,-3.329834
228,1825-01-31,-5.162903
229,1825-02-28,-5.8629456
230,1825-03-31,-5.2483826
231,1825-04-30,-0.45040894
232,1825-05-31,5.9564514
233,1825-06-30,11.647919
234,1825-07-31,15.019775
235,1825-08-31,14.42984
236,1825-09-30,9.39502
237,1825-10-31,5.5290527
238,1825-11-30,-0.51498413
239,1825-12-31,-4.4209595
240,1826-01-31,-7.107239
241,1826-02-28,-4.204895
242,1826-03-31,-4.927002
243,1826-04-30,-0.67749023
244,1826-05-31,6.1145325
245,1826-06-30,13.432098
246,1826-07-31,16.817749
247,1826-08-31,14.897186
248,1826-09-30,9.8845825
249,1826-10-31,5.3693542
250,1826-11-30,-1.6149902
251,1826-12-31,-4.5717773
252,1827-01-31,-7.485077
253,1827-02-28,-10.484802
254,1827-03-31,-5.0213623
255,1827-04-30,-0.2937317
256,1827-05-31,7.3895264
257,1827-06-30,13.085846
258,1827-07-31,15.272186
259,1827-08-31,14.315338
260,1827-09-30,10.643341
261,1827-10-31,4.8967896
262,1827-11-30,-1.4033203
263,1827-12-31,-2.7911377
264,1828-01-31,-5.818939
265,1828-02-29,-10.421539
266,1828-03-31,-7.341522
267,1828-04-30,-1.1729126
268,1828-05-31,6.5056458
269,1828-06-30,13.292084
270,1828-07-31,15.930237
271,1828-08-31,14.385101
272,1828-09-30,10.551666
273,1828-10-31,4.4520264
274,1828-11-30,-0.5054016
275,1828-12-31,-3.3778076
276,1829-01-31,-8.940308
277,1829-02-28,-10.755798
278,1829-03-31,-8.404022
279,1829-04-30,-1.8654175
280,1829-05-31,6.6459656
281,1829-06-30,12.8533325
282,1829-07-31,15.373383
283,1829-08-31,14.058868
284,1829-09-30,9.898346
285,1829-10-31,4.114105
286,1829-11-30,-2.274994
287,1829-12-31,-5.9282227
288,1830-01-31,-8.154022
289,1830-02-28,-9.220093
290,1830-03-31,-5.6600647
291,1830-04-30,-0.46914673
292,1830-05-31,5.447174
293,1830-06-30,12.421661
294,1830-07-31,15.668549
295,1830-08-31,14.497589
296,1830-09-30,9.215851
297,1830-10-31,5.1040344
298,1830-11-30,0.48083496
299,1830-12-31,-6.777405
300,1831-01-31,-7.8810425
301,1831-02-28,-7.713379
302,1831-03-31,-9.226196
303,1831-04-30,-2.0766602
304,1831-05-31,5.593567
305,1831-06-30,12.768768
306,1831-07-31,16.43872
307,1831-08-31,14.826202
308,1831-09-30,9.96167
309,1831-10-31,6.3766174
310,1831-11-30,-0.7320862
311,1831-12-31,-4.7052307
312,1832-01-31,-6.4391174
313,1832-02-29,-10.339661
314,1832-03-31,-6.6882935
315,1832-04-30,-1.5662537
316,1832-05-31,4.247589
317,1832-06-30,13.152924
318,1832-07-31,13.798004
319,1832-08-31,14.368164
320,1832-09-30,9.546661
321,1832-10-31,3.8185425
322,1832-11-30,-3.1787415
323,1832-12-31,-6.4641113
324,1833-01-31,-3.2810364
325,1833-02-28,-14.317841
326,1833-03-31,-11.866943
327,1833-04-30,-3.1333313
328,1833-05-31,6.1439514
329,1833-06-30,11.973755
330,1833-07-31,14.778229
331,1833-08-31,11.8125
332,1833-09-30,10.369995
333,1833-10-31,5.74234
334,1833-11-30,1.4891663
335,1833-12-31,-3.2419434
336,1834-01-31,-8.526215
337,1834-02-28,-12.212494
338,1834-03-31,-6.9576416
339,1834-04-30,1.3716736
340,1834-05-31,7.2709656
341,1834-06-30,12.141266
342,1834-07-31,17.029053
343,1834-08-31,15.543549
344,1834-09-30,11.329163
345,1834-10-31,6.181061
346,1834-11-30,0.480011
347,1834-12-31,-1.9229736
348,1835-01-31,-1.420166
349,1835-02-28,-7.9223022
350,1835-03-31,-8.270966
351,1835-04-30,-2.0691528
352,1835-05-31,5.9862976
353,1835-06-30,13.161682
354,1835-07-31,16.437103
355,1835-08-31,12.770172
356,1835-09-30,9.880005
357,1835-10-31,4.772583
358,1835-11-30,-1.382904
359,1835-12-31,-4.2677307
360,1836-01-31,-5.116516
361,1836-02-29,-9.701294
362,1836-03-31,-5.8693542
363,1836-04-30,-0.5033264
364,1836-05-31,4.898407
365,1836-06-30,11.536682
366,1836-07-31,13.889923
367,1836-08-31,13.03186
368,1836-09-30,9.0208435
369,1836-10-31,5.5689697
370,1836-11-30,-2.0841675
371,1836-12-31,-4.747162
372,1837-01-31,-7.4294434
373,1837-02-28,-7.467407
374,1837-03-31,-10.351196
375,1837-04-30,-5.0591736
376,1837-05-31,3.289917
377,1837-06-30,11.039581
378,1837-07-31,14.445984
379,1837-08-31,15.056854
380,1837-09-30,10.20166
381,1837-10-31,6.2939453
382,1837-11-30,1.4179077
383,1837-12-31,-4.3044434
384,1838-01-31,-7.81369
385,1838-02-28,-8.364716
386,1838-03-31,-7.302826
387,1838-04-30,-2.070404
388,1838-05-31,4.542755
389,1838-06-30,11.147919
390,1838-07-31,14.813324
391,1838-08-31,13.6633
392,1838-09-30,10.980835
393,1838-10-31,3.8354797
394,1838-11-30,-0.25039673
395,1838-12-31,-3.7064514
396,1839-01-31,-6.0056458
397,1839-02-28,-8.107574
398,1839-03-31,-11.061676
399,1839-04-30,-3.8458252
400,1839-05-31,4.988312
401,1839-06-30,11.5408325
402,1839-07-31,16.937103
403,1839-08-31,14.786285
404,1839-09-30,10.941254
405,1839-10-31,7.658081
406,1839-11-30,0.90042114
407,1839-12-31,-3.762909
408,1840-01-31,-4.896759
409,1840-02-29,-6.7560425
410,1840-03-31,-8.241943
411,1840-04-30,-0.037902832
412,1840-05-31,4.9834595
413,1840-06-30,11.400848
414,1840-07-31,14.084686
415,1840-08-31,14.124603
416,1840-09-30,10.287506
417,1840-10-31,4.055664
418,1840-11-30,-0.47998047
419,1840-12-31,-5.7742004
420,1841-01-31,-5.887085
421,1841-02-28,-6.2598267
422,1841-03-31,-3.2774048
423,1841-04-30,1.5908508
424,1841-05-31,7.8564453
425,1841-06-30,11.93042
426,1841-07-31,14.1536255
427,1841-08-31,14.419769
428,1841-09-30,10.412933
429,1841-10-31,4.226227
430,1841-11-30,-1.8591614
431,1841-12-31,-2.1588745
432,1842-01-31,-8.135071
433,1842-02-28,-5.611145
434,1842-03-31,-6.546356
435,1842-04-30,-3.7724915
436,1842-05-31,7.082672
437,1842-06-30,11.41333
438,1842-07-31,14.664917
439,1842-08-31,15.881866
440,1842-09-30,9.07959
441,1842-10-31,3.3383179
442,1842-11-30,-1.4758301
443,1842-12-31,-1.8036194
444,1843-01-31,-4.586273
445,1843-02-28,-10.912933
