,t,ts
0,1806-01-31,-270.35907
1,1806-02-28,-269.31015
2,1806-03-31,-271.09482
3,1806-04-30,-275.91583
4,1806-05-31,-280.38065
5,1806-06-30,-285.65326
6,1806-07-31,-288.572
7,1806-08-31,-288.35983
8,1806-09-30,-284.78613
9,1806-10-31,-280.60443
10,1806-11-30,-275.75595
11,1806-12-31,-272.24078
12,1807-01-31,-270.6949
13,1807-02-28,-268.95334
14,1807-03-31,-271.44797
15,1807-04-30,-275.55835
16,1807-05-31,-280.37607
17,1807-06-30,-285.59955
18,1807-07-31,-288.4869
19,1807-08-31,-288.3755
20,1807-09-30,-284.6883
21,1807-10-31,-280.506
22,1807-11-30,-275.5859
23,1807-12-31,-272.6123
24,1808-01-31,-270.63214
25,1808-02-29,-268.4931
26,1808-03-31,-271.39502
27,1808-04-30,-275.6771
28,1808-05-31,-280.33893
29,1808-06-30,-285.534
30,1808-07-31,-288.35968
31,1808-08-31,-288.45117
32,1808-09-30,-284.74185
33,1808-10-31,-280.51428
34,1808-11-30,-275.87973
35,1808-12-31,-272.61557
36,1809-01-31,-270.55615
37,1809-02-28,-269.08447
38,1809-03-31,-271.49146
39,1809-04-30,-275.8653
40,1809-05-31,-280.4758
41,1809-06-30,-285.67517
42,1809-07-31,-288.52112
43,1809-08-31,-288.52695
44,1809-09-30,-284.52518
45,1809-10-31,-280.6487
46,1809-11-30,-275.90594
47,1809-12-31,-272.53
48,1810-01-31,-270.5294
49,1810-02-28,-268.99
50,1810-03-31,-271.12527
51,1810-04-30,-275.8634
52,1810-05-31,-280.42337
53,1810-06-30,-285.6341
54,1810-07-31,-288.62372
55,1810-08-31,-288.4867
56,1810-09-30,-284.69632
57,1810-10-31,-280.5413
58,1810-11-30,-275.62192
59,1810-12-31,-272.43454
60,1811-01-31,-270.6693
61,1811-02-28,-268.6363
62,1811-03-31,-271.2866
63,1811-04-30,-275.81546
64,1811-05-31,-280.13672
65,1811-06-30,-285.54318
66,1811-07-31,-288.37057
67,1811-08-31,-288.27448
68,1811-09-30,-284.70532
69,1811-10-31,-280.4863
70,1811-11-30,-275.8825
71,1811-12-31,-272.42032
72,1812-01-31,-270.7774
73,1812-02-29,-269.19574
74,1812-03-31,-271.37802
75,1812-04-30,-275.60767
76,1812-05-31,-280.45016
77,1812-06-30,-285.61438
78,1812-07-31,-288.6401
79,1812-08-31,-288.42343
80,1812-09-30,-284.82324
81,1812-10-31,-280.16376
82,1812-11-30,-275.8017
83,1812-12-31,-272.6389
84,1813-01-31,-270.6022
85,1813-02-28,-268.58942
86,1813-03-31,-271.30774
87,1813-04-30,-275.66824
88,1813-05-31,-280.29266
89,1813-06-30,-285.40262
90,1813-07-31,-288.4371
91,1813-08-31,-288.56717
92,1813-09-30,-284.64627
93,1813-10-31,-280.26617
94,1813-11-30,-275.86328
95,1813-12-31,-272.4967
96,1814-01-31,-270.3939
97,1814-02-28,-269.14584
98,1814-03-31,-271.1396
99,1814-04-30,-275.75012
100,1814-05-31,-280.59134
101,1814-06-30,-285.57297
102,1814-07-31,-288.6024
103,1814-08-31,-288.52362
104,1814-09-30,-284.79556
105,1814-10-31,-280.3195
106,1814-11-30,-275.69284
107,1814-12-31,-272.6426
108,1815-01-31,-270.8435
109,1815-02-28,-269.35355
110,1815-03-31,-271.4859
111,1815-04-30,-275.9268
112,1815-05-31,-280.61502
113,1815-06-30,-285.60965
114,1815-07-31,-288.58524
115,1815-08-31,-288.47552
116,1815-09-30,-284.79636
117,1815-10-31,-280.87714
118,1815-11-30,-276.00098
119,1815-12-31,-272.98355
120,1816-01-31,-270.5135
121,1816-02-29,-268.99515
122,1816-03-31,-271.25967
123,1816-04-30,-275.82013
124,1816-05-31,-280.36853
125,1816-06-30,-285.46613
126,1816-07-31,-288.61935
127,1816-08-31,-288.59726
